dilution	ct	ct2
1	15.37	15.37
1	15.52	15.52
1	15.54	15.54
1	15.53	15.53
1	15.84	15.84
1	15.53	15.53
1	15.58	15.58
1	15.62	15.62
0.01	22.62	22.62
0.01	22.8	22.8
0.01	22.31	22.31
0.01	22.75	22.75
0.01	22.96	22.96
0.01	22.76	22.76
0.01	22.67	22.67
0.01	22.52	22.52
0.0001	29.93	29.93
0.0001	30.13	30.13
0.0001	30.07	30.07
0.0001	29.6	29.6
0.0001	30.26	30.26
0.0001	29.91	29.91
0.0001	29.85	29.85
0.0001	29.29	29.29
0.000001	31.94	NA
0.000001	32.51	NA
0.000001	31.24	NA
0.000001	30.62	NA
0.000001	30.81	NA
0.000001	31.98	NA
0.000001	30.77	NA
0.000001	32.19	NA
