ct	dilution
17.10	0.01
16.82	0.01
16.69	0.01
16.97	0.01
17.36	0.01
17.47	0.01
16.78	0.01
16.91	0.01
20.31	0.001
20.43	0.001
20.51	0.001
20.28	0.001
21.02	0.001
20.50	0.001
20.21	0.001
20.23	0.001
23.52	0.0001
23.25	0.0001
23.52	0.0001
23.45	0.0001
23.44	0.0001
23.86	0.0001
23.35	0.0001
23.53	0.0001
24.58	0.00005
24.84	0.00005
24.57	0.00005
25.09	0.00005
24.92	0.00005
24.65	0.00005
24.61	0.00005
24.81	0.00005
26.82	0.00001
27.04	0.00001
26.74	0.00001
27.17	0.00001
27.05	0.00001
26.93	0.00001
26.88	0.00001
27.30	0.00001
28.90	0.000005
28.85	0.000005
26.96	0.000005
27.35	0.000005
28.10	0.000005
29.08	0.000005
27.80	0.000005
27.57	0.000005
29.63	0.000001
29.52	0.000001
29.62	0.000001
27.77	0.000001
28.81	0.000001
28.16	0.000001
29.22	0.000001
29.25	0.000001
