ct	dilution	ct2
21.00	0.001	21.00
22.30	0.001	22.30
21.58	0.001	21.58
22.19	0.001	22.19
21.25	0.001	21.25
22.31	0.001	22.31
21.90	0.001	21.90
22.62	0.0005	NA
26.43	0.0005	NA
26.52	0.0005	NA
22.81	0.0005	NA
25.91	0.0005	NA
25.47	0.0005	NA
23.64	0.0005	NA
25.50	0.0001	25.50
27.91	0.0001	27.91
27.23	0.0001	27.23
29.91	0.0001	29.91
28.02	0.0001	28.02
23.85	0.0001	23.85
26.01	0.0001	26.01
29.94	0.00005	29.94
30.99	0.00005	30.99
30.08	0.00005	30.08
31.63	0.00005	31.63
27.30	0.00005	27.30
29.06	0.00005	29.06
30.55	0.00005	30.55
32.15	0.00001	32.15
31.16	0.00001	31.16
31.32	0.00001	31.32
32.45	0.00001	32.45
30.45	0.00001	30.45
31.69	0.00001	31.69
31.88	0.00001	31.88
31.11	0.00001	31.11
32.25	0.000005	32.25
32.08	0.000005	32.08
32.34	0.000005	32.34
31.99	0.000005	31.99
32.12	0.000005	32.12
32.91	0.000005	32.91
31.74	0.000005	31.74
32.73	0.000005	32.73
