allele	other_allele	ct	etat	info	ct2	ct3	ct4			
SCR01	Hom	0.00455304780579608	Dom	H	0.121618602522897	0.40143611453777	1.07095013982181			
SCR01	Hom	0.00394977158139526	Dom	H	0.105504207402003	0.348246059470001	0.92904986017819			
SCR01	Hom	0.0374371001750236	Dom	H	1	3.30077887930172	8.80580863129209			
SCR01	Hom	0.00265146965649709	Dom	H	0.0708246537285501	0.233776521161056	0.62366834711114			
SCR01	Hom	0.00304158668636381	Dom	H	0.0812452532953667	0.268172616120865	0.715430152719852			
SCR01	Hom	0.0164184171945008	Dom	H	0.438560067893679	1.44758980940858	3.8618760311982			
SCR01	SCR02	0.0000079258659614385	Rec	R	0.000211711535465727	0.000698812964769811	0.0018642912663482			
SCR01	SCR02	4.67023991387809E-07	Rec	R	0.0000124748976070371	0.0000411768785427596	0.000109851561022532			
SCR01	SCR02	0.000146176599684928	Rec	R	0.00390459194225868	0.0128881946152991	0.034383089426815			
SCR01	SCR02	0.0000756657531701041	Rec	R	0.00202114353986704	0.00667134790843024	0.0177978032284414			
SCR01	SCR02	8.27349364425725E-07	Rec	R	0.0000220997182088824	0.0000729462831023989	0.0001946058893529			
SCR01	SCR03	9.52077744769217E-06	Rec	R	0.000254313966711664	0.000839434170033301	0.0022394401231277			
SCR01	SCR03	2.71617650598667E-06	Rec	R	0.000072553068835144	0.000239481637239567	0.00063888843977524			
SCR01	SCR03	0.000129573748456627	Rec	R	0.00346110537009683	0.0114243435046534	0.03047783154181			
SCR01	SCR03	6.49253360064233E-06	Rec	R	0.000173425120276112	0.000572437974147752	0.00152714842101026			
SCR01	SCR03	1.37657629703242E-06	Rec	R	0.0000367703772620405	0.0001213708846505	0.000323792905469943			
SCR01	SCR03	0.000107880825035121	Rec	R	0.002881655484286	0.00951170755995519	0.0253753067359358			
SCR01	SCR04	0.000293790497375413	Rec	R	0.00784757622791033	0.0259031138667967	0.0691042544824554			
SCR01	SCR04	0.000168963427972014	Rec	R	0.00451326163570594	0.0148972786839009	0.0397429182669788			
SCR01	SCR04	0.000129975776946096	Rec	R	0.0034718441422664	0.0114597898170203	0.0305723951144703			
SCR01	SCR04	0.000262219890459928	Rec	R	0.00700427889003192	0.0231195758249563	0.06167833950582			
SCR01	SCR04	0.0000217753486594354	Rec	R	0.000581651585128994	0.00191990326730615	0.00512191254873362			
SCR01	SCR04	0.000158115783409233	Rec	R	0.00422350509708337	0.013940856421076	0.0371913776382029			
SCR01	SCR10	7.25600125242524E-06	Unk	R*	0.000193818463997009	0.000639751892380029	0.00170672830316864			
SCR01	SCR10	5.91195500424837E-07	Unk	R*	0.0000157917012178004	0.000052124913847959	0.000139058698886493			
SCR01	SCR10	0.0000588690586584736	Unk	R*	0.00157247912854502	0.00519040589564417	0.0138469502826684			
SCR01	SCR10	1.55447008393591E-06	Unk	R*	0.0000415221819176311	0.000137055541096241	0.000365636387920356			
SCR01	SCR10	4.94784157147414E-07	Unk	R*	0.0000132164124580758	0.0000436244551017568	0.00011638119889804			
SCR01	SCR10	0.0000868952518545689	Unk	R*	0.00232109996362757	0.00766143773668987	0.0204391620938034			
SCR01	SCR12	0.0000714878303035923	Rec	R	0.0019095450761244	0.00630298605634603	0.0168150885131776			
SCR01	SCR12	0.0000356912302002055	Rec	R	0.000953365245527674	0.00314684786669805	0.00839515190784149			
SCR01	SCR12	0.000704702008592882	Rec	R	0.0188236269715951	0.0621326303396954	0.165757256858695			
SCR01	SCR12	0.0000169869153708019	Rec	R	0.000453745490205858	0.0014977135306499	0.0039955959540646			
SCR01	SCR12	0.0000110339243315794	Rec	R	0.000294732345186841	0.00097284630003979	0.00259535662916724			
SCR01	SCR12	0.000250746643578906	Rec	R	0.00669781159348964	0.0221079950453328	0.0589796471407193			
SCR01	SCR13	0.0000347650220624243	Rec	R	0.000928624864102535	0.00306518533822408	0.00817729284354655			
SCR01	SCR13	0.0000152985599657259	Rec	R	0.000408647034471234	0.00134885350047193	0.00359846758329871			
SCR01	SCR13	0.000214033770048219	Rec	R	0.00571715675219452	0.0188710702573009	0.0503441882749244			
SCR01	SCR13	0.0000121498280956098	Rec	R	0.000324539775752066	0.00107123403729574	0.00285783515851514			
SCR01	SCR13	5.10875339146682E-06	Rec	R	0.000136462315926786	0.000450431930231736	0.0012016610394342			
SCR01	SCR13	0.000117056525413886	Rec	R	0.00312675193502249	0.010320716747938	0.0275335791773303			
SCR01	SCR20	6.54654976247305E-06	Rec	R	0.000174867971393805	0.00057720050664301	0.00153985389183611			
SCR01	SCR20	0.0000103695546331577	Rec	R	0.000276986053531887	0.000914269715359189	0.00243908618093862			
SCR01	SCR20	0.000459725252784136	Rec	R	0.0122799375655395	0.0405333585554764	0.108134780206355			
SCR01	SCR20	2.88006078964508E-06	Rec	R	0.0000769306590569355	0.000253931094585894	0.000677436661534551			
SCR01	SCR20	5.08341826934915E-06	Rec	R	0.000135785577557649	0.000448198166516075	0.00119570181086213			
SCR01	SCR20	0.000324866893860448	Rec	R	0.00867767247841447	0.0286430780382483	0.076413923209948			
SCR01	SCR29	5.09899588246597E-06	Rec	R	0.000136201678512157	0.00044957162375837	0.00119936591623882			
SCR01	SCR29	5.75058402067047E-07	Rec	R	0.0000153606555897377	0.0000507021275428342	0.000135262993574417			
SCR01	SCR29	0.0000270201440927436	Rec	R	0.000721747784054339	0.00238232984178938	0.00635557286644164			
SCR01	SCR29	3.75107977170583E-07	Rec	R	0.0000100196856972602	0.0000330727669267582	0.0000882314347957682			
SCR01	SCR29	1.23591598842304E-06	Rec	R	0.000033013133566568	0.000108969054016094	0.000290707336506483			
SCR01	SCR29	0.000928365556436365	Rec	R	0.0247980092500789	0.0818527451813891	0.218366523893206			
SCR02	Hom	0.18177385306187	Dom	H	0.450692890576755	0.760164693275468	0.72109973784519			
SCR02	Hom	0.261335618153846	Dom	H	0.647959556187274	1.09288605962628	1.03672251297994			
SCR02	Hom	0.15302392259028	Dom	H	0.379409870220074	0.639934628772249	0.607048310882949			
SCR02	Hom	0.309978707992987	Dom	H	0.768565982232088	1.29630783258587	1.22969041644979			
SCR02	Hom	0.285812026383277	Dom	H	0.708646739685025	1.19524457291519	1.13382080990402			
SCR02	Hom	0.242821694689039	Dom	H	0.602055849236469	1.01546221282494	0.963277487020055			
SCR02	SCR01	0.00564034842000976	Dom	D	0.0139847667332496	0.0235875163255968	0.0223753510117883			
SCR02	SCR01	0.00617219774893263	Dom	D	0.0153034421497957	0.0258116705434854	0.024485205675698			
SCR02	SCR01	0.00504825324467771	Dom	D	0.0125167168373378	0.021111418472332	0.0200265001263641			
SCR02	SCR01	0.258218928787346	Dom	D	0.640231988575338	1.07985229719888	1.02435855717843			
SCR02	SCR01	0.265478450990589	Dom	D	0.658231359721815	1.11021107749649	1.0531571960886			
SCR02	SCR01	0.242602557873385	Dom	D	0.601512518041057	1.01454579900936	0.962408167821179			
SCR02	SCR03	0.346277367027732	Unk	D*	0.858565436437754	1.44810611680921	1.37368776850667			
SCR02	SCR03	0.403320879611064	Unk	D*	1	1.6866578310181	1.59998028130063			
SCR02	SCR03	0.3511112189345	Unk	D*	0.870550563296124	1.46832092488063	1.39286373514895			
SCR02	SCR03	0.0139524923603185	Unk	D*	0.0345940244248534	0.0583482822026104	0.0553497569305977			
SCR02	SCR03	0.0147480361356515	Unk	D*	0.0365665079126911	0.0616751869239257	0.0585056916163291			
SCR02	SCR03	0.0133841252964134	Unk	D*	0.0331848063738237	0.055971413541229	0.0530950358368973			
SCR02	SCR10	0.00103547336689098	Unk	R*	0.00256736861203298	0.0043302723745955	0.00410773915408294			
SCR02	SCR10	0.00108091108338977	Unk	R*	0.00268002758605537	0.00452028951536483	0.00428799129103032			
SCR02	SCR10	0.00102960877896692	Unk	R*	0.00255282786242013	0.00430574710539211	0.00408447424142705			
SCR02	SCR10	0.00245193853332337	Unk	R*	0.00607937415907616	0.0102538240330949	0.00972687877717045			
SCR02	SCR10	0.00326897155307906	Unk	R*	0.00810513841046722	0.0136705951715001	0.0129680616339599			
SCR02	SCR10	0.00337679716370697	Unk	R*	0.0083724828899593	0.0141215138314149	0.0133958075294618			
SCR02	SCR12	0.0000789835969297193	Rec	R	0.0001958331465653	0.000330303510227279	0.000313329172929536			
SCR02	SCR12	0.0000303461466664705	Rec	R	0.0000752407033718024	0.000126905321553361	0.000120383641746074			
SCR02	SCR12	0.0000748176528601994	Rec	R	0.000185504040684302	0.000312881842905679	0.000296802807196473			
