allele	other_allele	ct	etat	info	ct2
SRK01	SRK12	0.00100634	Rec	R	0.0130361073059697
SRK01	SRK12	0.005166251	Rec	R	0.0669235073688548
SRK01	SRK12	0.00098563	Rec	R	0.0127678303992517
SRK01	SRK12	0.005250486	Rec	R	0.0680146857965416
SRK01	SRK12	0.00207405	Rec	R	0.0268672003079938
SRK01	SRK12	0.000808013	Rec	R	0.010466983497246
SRK01	SRK12	0.003136418	Rec	R	0.04062909315378
SRK01	SRK12	0.004528765	Rec	R	0.0586655270619472
SRK01	SRK12	NA	Rec	R	NA
SRK01	SRK12	0.00439476	Rec	R	0.0569296290955179
SRK01	SRK12	0.002743056	Rec	R	0.0355334900354592
SRK01	SRK12	0.003377099	Rec	R	0.0437468697923992
SRK01	SRK29	NA	Rec	R*	NA
SRK01	SRK29	NA	Rec	R*	NA
SRK01	SRK29	NA	Rec	R*	NA
SRK01	SRK29	0.049149935	Rec	R*	0.636687229705106
SRK01	SRK29	0.048138444	Rec	R*	0.623584396452903
SRK01	SRK29	0.0630803	Rec	R*	0.817140886472526
SRK01	SRK29	0.00852944	Rec	R*	0.110490187312271
SRK01	SRK29	0.004090993	Rec	R*	0.0529946377327454
SRK01	SRK29	0.003121958	Rec	R*	0.0404417786163032
SRK01	SRK29	0.000896547	Rec	R*	0.0116138510809917
SRK01	SRK29	0.002192309	Rec	R*	0.0283991249198513
SRK01	SRK29	NA	Rec	R*	NA
SRK01	SRK10	0.007776482	Rec	R*	0.100736385133198
SRK01	SRK10	NA	Rec	R*	NA
SRK01	SRK10	0.004081551	Rec	R*	0.0528723262622851
SRK01	SRK10	0.002162127	Rec	R*	0.0280081479233007
SRK01	SRK10	0.002031367	Rec	R*	0.0263142856189814
SRK01	SRK10	NA	Rec	R*	NA
SRK01	SRK10	0.001177547	Rec	R*	0.0152539192020815
SRK01	SRK10	0.001297545	Rec	R*	0.0168083707835567
SRK01	SRK10	0.00042803	Rec	R*	0.005544691665018
SRK01	SRK10	0.00130657	Rec	R*	0.0169252804447412
SRK01	SRK10	0.000304768	Rec	R*	0.00394795829583021
SRK01	SRK10	NA	Rec	R*	NA
SRK01	SRK03	0.063372467	Rec	R*	0.820925611677986
SRK01	SRK03	0.074842419	Rec	R*	0.969507129918662
SRK01	SRK03	0.096054699	Rec	R*	1.24429056124831
SRK01	SRK03	0.2381595	Rec	R*	3.08511318037253
SRK01	SRK03	0.196146024	Rec	R*	2.54087149124879
SRK01	SRK03	0.168404197	Rec	R*	2.18150444468834
SRK01	SRK03	0.012809281	Rec	R*	0.165931158086053
SRK01	SRK03	0.018367936	Rec	R*	0.237937858661272
SRK01	SRK03	0.016439763	Rec	R*	0.212960345959328
SRK01	SRK03	0.002088477	Rec	R*	0.0270540873641609
SRK01	SRK03	0.003078977	Rec	R*	0.0398850036415254
SRK01	SRK03	NA	Rec	R*	NA
SRK01	SRK20	0.109829182	Rec	R	1.42272492584899
SRK01	SRK20	0.068551561	Rec	R	0.888015487000148
SRK01	SRK20	0.087980849	Rec	R	1.13970207726446
SRK01	SRK20	NA	Rec	R	NA
SRK01	SRK20	NA	Rec	R	NA
SRK01	SRK20	NA	Rec	R	NA
SRK01	SRK20	0.008200912	Rec	R	0.106234442473532
SRK01	SRK20	0.0119239	Rec	R	0.154461951135453
SRK01	SRK20	0.02351948	Rec	R	0.304670851859817
SRK01	SRK20	0.001219073	Rec	R	0.0157918461372999
SRK01	SRK20	0.000377823	Rec	R	0.00489431123741816
SRK01	SRK20	NA	Rec	R	NA
SRK01	Hom	0.385998372	Hom	H	5.00021483526603
SRK01	Hom	0.269184392	Hom	H	3.48700898225671
