Name	Cp	Etat
Sample1	25.05	positif
Sample2	40	sample
Sample3	38.47	sample
Sample4	34.06	sample
Sample5	34.46	sample
Sample6	31.71	sample
Sample7	33.59	sample
Sample8	40	sample
Sample9	40	sample
Sample10	21.85	actin
Sample13	40	sample
Sample15	25.54	positif
Sample16	40	sample
Sample17	33.83	sample
Sample18	31.04	sample
Sample19	33.07	sample
Sample20	40	sample
Sample22	21.21	actin
Sample24	27.84	sample
Sample26	35.07	sample
Sample27	35.17	sample
Sample28	37.12	sample
Sample29	34.73	sample
Sample30	31.82	sample
Sample31	31.82	sample
Sample32	40	sample
Sample33	23.53	positif
Sample34	22.07	actin
Sample35	36.73	negatif
Sample37	35.84	sample
Sample38	19.68	positif
Sample39	33.5	sample
Sample40	36.13	sample
Sample42	33.15	sample
Sample43	32.13	sample
Sample44	40	sample
Sample46	27.59	actin
Sample47	36.22	negatif
Sample49	33.02	sample
Sample50	21.94	positif
Sample51	35.21	sample
Sample52	34.08	sample
Sample53	22.62	positif
Sample54	31.56	sample
Sample55	32.46	sample
Sample56	34.11	sample
Sample57	40	sample
Sample58	21.51	actin
Sample61	40	sample
Sample62	40	sample
Sample63	31.14	sample
Sample64	20.65	positif
Sample65	35.02	sample
Sample66	30.5	sample
Sample67	32.02	sample
Sample68	40	sample
Sample69	40	sample
Sample70	20.11	actin
Sample71	30.93	negatif
Sample74	36.9	sample
Sample75	30.08	sample
Sample76	40	sample
Sample77	33.91	sample
Sample78	20.36	positif
Sample79	32.45	sample
Sample80	40	sample
Sample82	19.17	actin
Sample83	32.19	negatif
Sample85	30.7	sample
Sample87	31.21	sample
Sample88	37.93	sample
Sample89	40	sample
Sample90	31.57	sample
Sample91	24.52	positif
Sample92	21.64	positif
Sample94	19.84	actin
Sample95	34.51	negatif
