score	y	etat	cat	moy
13.5	0.313503899	Dominant	<18	0.313503899
14	1	Dominant	<18	0.5331561176
14	0.2459581	Dominant	<18	0.5331561176
14	0.55243153	Dominant	<18	0.5331561176
14.5	0.115334688	Dominant	<18	0.3305939925
15	1	Dominant	<18	0.596928005166667
15	0.773009855	Dominant	<18	0.596928005166667
15	1	Dominant	<18	0.596928005166667
15	0.023244018	Dominant	<18	0.596928005166667
15	0.177039547	Dominant	<18	0.596928005166667
15.5	0.00694062	Dominant	<18	0.3603601015
15.5	0.433985398	Dominant	<18	0.3603601015
16	0.337965927	Dominant	<18	0.683408760285714
16	0.620895373	Dominant	<18	0.683408760285714
16	0.299774302	Dominant	<18	0.683408760285714
16	1	Dominant	<18	0.683408760285714
16.5	1	Dominant	<18	0.683670587
16.5	1	Dominant	<18	0.683670587
17	0.75624886	Dominant	<18	0.75624886
17.5	0.151269234	Dominant	<18	0.454339057
17.5	0.415234644	Dominant	<18	0.454339057
20	0.460035943	Dominant	>18	0.0787635799166667
21	0.421450532	Dominant	>18	0.11244389225
14	0.532916278	Unknown	<18	0.5331561176
14	0.33447468	Unknown	<18	0.5331561176
14.5	0.545853297	Unknown	<18	0.3305939925
15	0.608274611	Unknown	<18	0.596928005166667
15.5	1	Unknown	<18	0.3603601015
16	0.52522572	Unknown	<18	0.683408760285714
16	1	Dominant	<18	0.683408760285714
16.5	0.051011761	Unknown	<18	0.683670587
17.5	0.796513293	Unknown	<18	0.454339057
18.5	0.403854466	Unknown	>18	0.403854466
19	0.004812586	Unknown	>18	0.0107898426
20	0.0000809585	Unknown	>18	0.0787635799166667
21	0.000252228	Unknown	>18	0.11244389225
22	0.008533707	Unknown	>18	0.00782601542857143
22	0.00518301	Unknown	>18	0.00782601542857143
22	0.000295278	Unknown	>18	0.00782601542857143
16	1	Dominant	<18	0.683408760285714
18	0.015427163	Recessive	>18	0.0134189113333333
18	0.017229385	Recessive	>18	0.0134189113333333
18	0.007600186	Recessive	>18	0.0134189113333333
19	0.016116497	Recessive	>18	0.0107898426
19	0.007900252	Recessive	>18	0.0107898426
19	0.001823041	Recessive	>18	0.0107898426
19	0.023296837	Recessive	>18	0.0107898426
19.5	0.002217267	Recessive	>18	0.002217267
20	0.000606667	Recessive	>18	0.0787635799166667
20	0.001472772	Recessive	>18	0.0787635799166667
20	0.003300982	Recessive	>18	0.0787635799166667
20	0.007084157	Recessive	>18	0.0787635799166667
20.5	0.009857774	Recessive	>18	0.009857774
21	0.016026837	Recessive	>18	0.11244389225
21	0.012045972	Recessive	>18	0.11244389225
21.5	0.008036956	Recessive	>18	0.0097149885
21.5	0.011393021	Recessive	>18	0.0097149885
22	0.003784796	Recessive	>18	0.00782601542857143
22	0.019235729	Recessive	>18	0.00782601542857143
22	0.005854582	Recessive	>18	0.00782601542857143
22	0.011895006	Recessive	>18	0.00782601542857143
15.5	0.000514388	Recessive	<18	0.3603601015
