genot	allele_measured	Other_allele_inGenot	Ct	RéplicatBiol_génotype	réplicat_Techclone	stade	recc_geno	recc_tech	recc_alle	x	info	Ct2
SCR01_Hom	SCR01	Hom	0.0000601948672176123	59-1	10	C	1	1	1	1.1	%	0.00492580587845384
SCR01_Hom	SCR01	Hom	0.0000254848608223989	59-1	10	C	1	1	1	1.1	%	0.00208545151859428
SCR01_Hom	SCR01	Hom	0.00027850676656944	59-1	10	C	1	1	1	1.1	%	0.0227904858232751
SCR01_Hom	SCR01	Hom	0.0000186560100966197	59-1	10	D	1	1	1	1.1	%	0.00152663986898099
SCR01_Hom	SCR01	Hom	3.78834722685638E-06	59-1	10	D	1	1	1	1.1	%	0.000310004222988195
SCR01_Hom	SCR01	Hom	0.000324386185082156	59-1	10	D	1	1	1	1.1	%	0.0265448442903016
SCR01_Hom	SCR01	Hom	0.0000725834420778029	59-1	22	C	1	2	1	1.2	%	0.00593957528592481
SCR01_Hom	SCR01	Hom	0.0000502680064250228	59-1	22	C	1	2	1	1.2	%	0.00411348098254605
SCR01_Hom	SCR01	Hom	0.00115331314592728	59-1	22	C	1	2	1	1.2	%	0.0943767622805637
SCR01_Hom	SCR01	Hom	0.0000244467125729255	59-1	22	D	1	2	1	1.2	%	0.00200049881437988
SCR01_Hom	SCR01	Hom	9.26357181087529E-06	59-1	22	D	1	2	1	1.2	%	0.000758047298559999
SCR01_Hom	SCR01	Hom	0.00018891174237578	59-1	22	D	1	2	1	1.2	%	0.0154588358462449
SCR01_Hom	SCR01	Hom	0.00556269607655107	58-1	25	C	1	3	1	1.3	¤	0.455200954840054
SCR01_Hom	SCR01	Hom	0.00379943338832923	58-1	25	C	1	3	1	1.3	¤	0.310911414612275
SCR01_Hom	SCR01	Hom	0.0387408656230933	58-1	25	C	1	3	1	1.3	¤	3.17020358119153
SCR01_Hom	SCR01	Hom	0.00885065535387342	58-1	25	D	1	3	1	1.3	¤	0.724257934030675
SCR01_Hom	SCR01	Hom	0.00439475970581565	58-1	25	D	1	3	1	1.3	¤	0.359627559523297
SCR01_Hom	SCR01	Hom	0.0330318137675431	58-1	25	D	1	3	1	1.3	¤	2.70302618733163
SCR01_Hom	SCR01	Hom	0.0125167168373378	58-1	31	C	1	4	1	1.4	¤	1.0242553929625
SCR01_Hom	SCR01	Hom	0.0119239000700044	58-1	31	C	1	4	1	1.4	¤	0.975744607037504
SCR01_Hom	SCR01	Hom	0.109575715164505	58-1	31	C	1	4	1	1.4	¤	8.9666898000097
SCR01_Hom	SCR01	Hom	0.00171212054944538	58-1	31	D	1	4	1	1.4	¤	0.140104528125151
SCR01_Hom	SCR01	Hom	0.00775853512060184	58-1	31	D	1	4	1	1.4	¤	0.634888648679821
SCR01_Hom	SCR01	Hom	0.0321285570830021	58-1	31	D	1	4	1	1.4	¤	2.62911179409308
SCR01_SCR02	SCR01	SCR02	0.0000079258659614385	71-4	71	C	2	1	1	2.1	NA	0.000648581497880071
SCR01_SCR02	SCR01	SCR02	4.67023991387809E-07	71-4	71	C	2	1	1	2.1	NA	0.0000382170379052511
SCR01_SCR02	SCR01	SCR02	0.000146176599684928	71-4	71	C	2	1	1	2.1	NA	0.0119617765982834
SCR01_SCR02	SCR01	SCR02	0.0000756657531701041	71-4	71	D	2	1	1	2.1	NA	0.00619180386951471
SCR01_SCR02	SCR01	SCR02	8.27349364425725E-07	71-4	71	D	2	1	1	2.1	NA	0.0000677028217055504
SCR01_SCR02	SCR01	SCR02	0.0000964405898270723	71-4	71	D	2	1	1	2.1	NA	0.00789182942416651
SCR01_SCR03	SCR01	SCR03	0.000017286436238034	214-1	24	C	3	1	1	3.1	NA	0.00141456627740366
SCR01_SCR03	SCR01	SCR03	2.72559001873226E-06	214-1	24	C	3	1	1	3.1	NA	0.000223037743201438
SCR01_SCR03	SCR01	SCR03	0.000177486879555702	214-1	24	C	3	1	1	3.1	NA	0.0145239279539121
SCR01_SCR03	SCR01	SCR03	0.0000123083764529744	214-1	24	D	3	1	1	3.1	NA	0.00100720669201086
SCR01_SCR03	SCR01	SCR03	1.57087520078197E-06	214-1	24	D	3	1	1	3.1	NA	0.000128546280704565
SCR01_SCR03	SCR01	SCR03	0.000153444015444559	214-1	24	D	3	1	1	3.1	NA	0.0125564764609901
